target.gene_info.symbol,evidence_count.total,evidence_count.datatypes.genetic_association,evidence_count.datatypes.somatic_mutation,evidence_count.datatypes.known_drug,evidence_count.datatypes.affected_pathway,evidence_count.datatypes.rna_expression,evidence_count.datatypes.literature,evidence_count.datatypes.animal_model,evidence_count.datasources.gwas_catalog,evidence_count.datasources.eva,evidence_count.datasources.eva_somatic,evidence_count.datasources.uniprot,evidence_count.datasources.uniprot_literature
CHRM1,119.0,0.0,0.0,82.0,0.0,11.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRA2A,165.0,1.0,0.0,82.0,0.0,6.0,67.0,9.0,1.0,0.0,0.0,0.0,0.0
ADRA2C,102.0,0.0,0.0,82.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRA2B,86.0,0.0,0.0,82.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRB1,90.0,0.0,0.0,49.0,0.0,18.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRB2,137.0,0.0,0.0,41.0,0.0,7.0,85.0,4.0,0.0,0.0,0.0,0.0,0.0
CHRM3,50.0,1.0,0.0,14.0,0.0,24.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0
ADRA1D,39.0,6.0,0.0,27.0,0.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0
ADRA1B,39.0,1.0,0.0,27.0,0.0,2.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0
ADRA1A,37.0,0.0,0.0,29.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
CHRM2,60.0,7.0,0.0,7.0,0.0,3.0,43.0,0.0,6.0,0.0,0.0,0.0,1.0
ADRB3,30.0,0.0,0.0,16.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
ADGRV1,82.0,22.0,0.0,0.0,0.0,8.0,52.0,0.0,0.0,21.0,0.0,0.0,1.0
DRD1,233.0,0.0,0.0,7.0,0.0,4.0,214.0,8.0,0.0,0.0,0.0,0.0,0.0
ADORA2A,46.0,0.0,0.0,17.0,0.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0
ADORA2B,16.0,0.0,0.0,8.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
ADORA1,20.0,0.0,0.0,8.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
ADORA3,14.0,0.0,0.0,8.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
CXCR4,130.0,1.0,1.0,0.0,0.0,19.0,109.0,0.0,1.0,0.0,0.0,0.0,0.0
CALCRL,25.0,0.0,0.0,11.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
CX3CR1,120.0,1.0,0.0,0.0,0.0,9.0,107.0,3.0,0.0,0.0,0.0,0.0,1.0
CNR1,746.0,1.0,0.0,14.0,0.0,16.0,709.0,6.0,1.0,0.0,0.0,0.0,0.0
CELSR1,42.0,5.0,0.0,0.0,0.0,5.0,3.0,29.0,0.0,0.0,0.0,4.0,1.0
CCKBR,56.0,0.0,0.0,0.0,0.0,15.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0
CASR,39.0,1.0,0.0,0.0,0.0,0.0,20.0,18.0,0.0,0.0,0.0,0.0,1.0
AGTR1,59.0,0.0,0.0,2.0,0.0,6.0,36.0,15.0,0.0,0.0,0.0,0.0,0.0
